session,param,ratio,param_value,fixed_point_success,fixed_point_residual_rms,max_real_lambda,leading_lambda_imag,stability_margin,motor_loading_fraction,motor_loading_enrichment,motor_E_loading_fraction,motor_I_loading_fraction,contra_motor_loading_density,ipsi_motor_loading_density,bilateral_motor_loading_density,local_motor_block_max_real_lambda
followup6w,G,0.6299605249474366,0.13941473200854895,True,2.310464541501097e-15,-8.489958423416274,0.0,8.489958423416274,0.15066288499802274,1.076163464271591,0.15066284474914768,0.15068045098078467,0.011078327809296481,0.010761634642705147,0.010919981226000814,-9.467638858726975
followup6w,G,0.7937005259840998,0.1756515555230234,True,2.218974516135767e-15,-7.9459898811749445,0.0,7.9459898811749445,0.15097114294392272,1.0783653067423051,0.15097108672833792,0.15099565815064742,0.011114543090510798,0.010783653067412266,0.010949098078961533,-9.241512152108394
followup6w,G,1.0,0.2213070922502352,True,2.4924074184091187e-15,-7.165619920548242,0.0,7.165619920548242,0.15145852564588025,1.0818466117562875,0.1514584423957373,0.1514947584322375,0.011169285374411628,0.010818466117552054,0.010993875745981842,-8.921013713296116
followup6w,G,1.2599210498948732,0.2788294640170979,True,1.8298161249906154e-14,-5.958374412274336,0.0,5.958374412274336,0.1523256606450011,1.0880404331785793,0.15232552080949416,0.1523861944244565,0.011261255624344307,0.010880404331774911,0.01107082997805961,-8.436462902955583
followup6w,G,1.5874010519681994,0.3513031110460467,True,2.9414834720047653e-15,-3.6909979284611656,0.0,3.6909979284611656,0.15432602712537086,1.1023287651812204,0.1543256752500572,0.1544752961497649,0.011461960022512272,0.01102328765180118,0.011242623837156726,-7.585933178983326
followup6w,G,1.9999999999999998,0.44261418450047035,True,0.17005098404904304,-3.954462822530758e-06,0.0,3.954462822530758e-06,0.15534421217093033,1.1096015155066452,0.15534455041228712,0.15519818290705317,0.011369901859585266,0.011096015155055358,0.011232958507320312,-6.144915664122759
followup6w,G,2.5198420997897464,0.5576589280341958,True,0.35053211323306466,1.845878391248945e-05,0.0,-1.845878391248945e-05,0.14466078943624405,1.0332913531160288,0.1446615517784348,0.14428807038492164,0.010574657151314818,0.010332913531149953,0.010453785341232385,-5.804069371974933
followup6w,G,3.1748021039363983,0.7026062220920933,True,0.431212629280681,3.046820318153287e-06,0.0,-3.046820318153287e-06,0.14193053584602974,1.0137895417573553,0.14193096930436372,0.1417038991448206,0.010326978381341747,0.010137895417563414,0.01023243689945258,-5.7027856264639745
followup6w,G,4.0,0.8852283690009408,True,0.45823455008702524,0.23379335352329889,0.0,-0.23379335352329889,0.14402076471590933,1.0287197479707808,0.14402126981963465,0.1437464536170926,0.010463932656655068,0.010287197479697517,0.010375565068176293,-5.5292110530073355
followup6w,w_EE,0.25,0.14587218785889436,True,2.466807134213536e-15,-9.27796249086977,0.0,9.27796249086977,0.15027656715198917,1.0734040510856369,0.15027651375033144,0.1502998755562235,0.01102757280320513,0.010734040510845635,0.010880806657025382,-10.723189289544809
followup6w,w_EE,0.3149802624737183,0.18378744007764036,True,2.7767452460891196e-15,-9.124748781903277,0.0,9.124748781903277,0.1503528174005031,1.0739486957178792,0.15035276228697278,0.1503768733309838,0.011036746577597052,0.010739486957168056,0.010888116767382553,-10.590331896655389
followup6w,w_EE,0.39685026299204984,0.2315576644601117,True,2.3283205948885306e-15,-8.925418386809188,0.0,8.925418386809188,0.1504539247323168,1.07467089094512,0.15045386730367705,0.1504789904369309,0.011048914640062657,0.010746708909440452,0.010897811774751555,-10.417950254613784
followup6w,w_EE,0.5,0.2917443757177887,True,2.330569426444865e-15,-8.663392250233086,0.0,8.663392250233086,0.15059027478184464,1.0756448198703188,0.15059021414968396,0.1506167354968162,0.011065324836117867,0.010756448198692429,0.010910886517405148,-10.19216958101921
followup6w,w_EE,0.6299605249474366,0.3675748801552807,True,2.541586409727617e-15,-8.313872146178559,0.0,8.313872146178559,0.1507786524211716,1.07699037443694,0.15077858720924067,0.15080710280179618,0.011087982877222699,0.010769903744358631,0.010928943310790664,-9.892497444146343
followup6w,w_EE,0.7937005259840998,0.46311532892022345,True,2.6423424605886983e-15,-7.837463919142537,0.0,7.837463919142537,0.15104853387270523,1.0789180990907514,0.15104846178670248,0.1510799602257025,0.011120373474819489,0.010789180990896726,0.010954777232858107,-9.486922904152907
followup6w,w_EE,1.0,0.5834887514355774,True,2.6690763649565592e-15,-7.165619920548208,0.0,7.165619920548208,0.15145852564588935,1.0818466117563523,0.15145844239574643,0.15149475843224677,0.01116928537441205,0.010818466117552704,0.010993875745982377,-8.92101371329611
followup6w,w_EE,1.2599210498948732,0.7351497603105615,True,3.540958827869084e-15,-6.159565966423951,0.0,6.159565966423951,0.15215158742865487,1.0867970530618203,0.15215148316119717,0.15219678208693382,0.011250644697202826,0.010867970530607332,0.01105930761390508,-8.08818581190195
followup6w,w_EE,1.5874010519681994,0.9262306578404468,True,3.144382109696748e-15,-4.437366430184947,0.0,4.437366430184947,0.15365286298032726,1.0975204498594804,0.15365270068088002,0.1537223305981319,0.011418581324793438,0.01097520449858383,0.011196892911688634,-6.710997392686216
followup6w,w_EE,1.9999999999999998,1.1669775028711546,True,0.06589563440583568,1.3484556973253348e-06,0.0,-1.3484556973253348e-06,0.15963465718153427,1.1402475512966732,0.15963436914488438,0.15975029756658937,0.011749852230520717,0.01140247551295533,0.011576163871738022,-3.487540842410729
followup6w,w_EE,2.5198420997897464,1.470299520621123,True,0.2923422772725184,1.1825836061518658e-06,0.0,-1.1825836061518658e-06,0.14377575449023128,1.0269696749302233,0.14377608799375527,0.14361903374673154,0.01048893167137552,0.010269696749291965,0.01037931421033374,-2.6271874766096808
followup6w,w_EE,3.1748021039363983,1.8524613156808933,True,0.4032206798516185,1.724354928821038e-05,0.0,-1.724354928821038e-05,0.14109639865867618,1.007831418990544,0.14109676170166616,0.14091200124376083,0.01014507747196473,0.010078314189895363,0.010111695830930047,-2.0119423441850013
followup6w,w_EE,4.0,2.3339550057423097,True,0.4522673102202652,7.784347715850126e-05,0.0,-7.784347715850126e-05,0.13943119934648363,0.9959371381891686,0.13943147549693585,0.1392841360618746,0.009954914072877146,0.009959371381881727,0.009957142727379437,-1.5468354820346275
followup6w,w_EI,0.25,0.1513780733232116,True,5.8760067856829575e-15,-4.648834283972299,0.0,4.648834283972299,0.15351487735779865,1.0965348382699902,0.15351487505399847,0.15353281871432678,0.011411238022246703,0.010965348382688936,0.011188293202467819,-6.82592827383315
followup6w,w_EI,0.3149802624737183,0.19072442107244386,True,2.3230073739735964e-15,-4.924235805140383,0.0,4.924235805140383,0.153246004525036,1.0946143180359713,0.15324600023179094,0.1532668023328444,0.011380658876761306,0.010946143180348766,0.011163401028555037,-7.048946317640412
followup6w,w_EI,0.39685026299204984,0.2402977128381853,True,2.4339218598098987e-15,-5.249266369444078,0.0,5.249266369444078,0.15294581416333866,1.0924701011667046,0.1529458062342626,0.1529696551858318,0.011346086294092294,0.010924701011656126,0.01113539365287421,-7.314340671928336
followup6w,w_EI,0.5,0.3027561466464232,True,2.567281220108454e-15,-5.629877330416944,0.0,5.629877330416944,0.15261523638909832,1.0901088313507021,0.15261522188357593,0.15264224348060518,0.011307511665849137,0.010901088313496121,0.01110429998967263,-7.627959951786159
followup6w,w_EI,0.6299605249474366,0.3814488421448877,True,2.4665322991450872e-15,-6.072106106693877,0.0,6.072106106693877,0.15225585160963565,1.087541797211683,0.15225582534110782,0.15228605995444813,0.011265034930943675,0.010875417972105953,0.011070226451524815,-7.9959636696328635
followup6w,w_EI,0.7937005259840998,0.4805954256763707,True,2.5691290053026715e-15,-6.5820114617287375,0.0,6.5820114617287375,0.1518696105097498,1.0847829322124984,0.15186956346062472,0.15190294112256436,0.011218860386071972,0.010847829322114136,0.011033344854093054,-8.42477253536669
followup6w,w_EI,1.0,0.6055122932928464,True,6.7196059400777425e-15,-7.165619920548243,0.0,7.165619920548243,0.15145852564587842,1.0818466117562744,0.15145844239573544,0.15149475843223606,0.011169285374411355,0.010818466117551924,0.010993875745981641,-8.921013713296105
followup6w,w_EI,1.2599210498948732,0.7628976842897754,True,1.4056355004652935e-13,-7.828877412182338,0.0,7.828877412182338,0.15102441695359312,1.0787458353828079,0.15102427163615237,0.1510631676975274,0.011116684268958605,0.010787458353817295,0.010952071311387951,-9.491455307556574
followup6w,w_EI,1.5874010519681994,0.9611908513527412,True,2.4336686349000077e-15,-8.577596950074339,0.0,8.577596950074339,0.15056878174028934,1.0754912981449238,0.15056853192662306,0.1506094887203307,0.011061490448534574,0.01075491298143848,0.010908201714986528,-10.142922720673331
followup6w,w_EI,1.9999999999999998,1.2110245865856926,True,2.782886459727134e-15,-9.417392881811123,0.0,9.417392881811123,0.15009282601748103,1.0720916144105788,0.15009240389657022,0.15013475152352215,0.011004178708632972,0.010720916144095066,0.010862547426364017,-10.882190372793533
followup6w,w_EI,2.5198420997897464,1.525795368579551,True,2.3243997900853552e-15,-10.353595093212496,0.0,10.353595093212496,0.14959764895798458,1.0685546354141755,0.14959694942023324,0.14963989848412737,0.010945249896036206,0.010685546354131072,0.010815398125083638,-11.71584572911287
followup6w,w_EI,3.1748021039363983,1.9223817027054821,True,2.9094622443137527e-15,-11.391141810693103,0.0,11.391141810693103,0.14908452908519315,1.0648894934656652,0.14908339515009783,0.14912608728162974,0.010885218564788439,0.010648894934646,0.01076705674971722,-12.650128050166428
followup6w,w_EI,4.0,2.4220491731713856,True,3.0543444077800246e-15,-12.534455957570684,0.0,12.534455957570684,0.1485552315005025,1.0611087964321606,0.14855343959094214,0.148595011117316,0.010824603222978874,0.010611087964310996,0.010717845593644935,-13.69075053281541
followup6w,w_IE,0.25,0.33935480243564864,True,6.079644538468553e-15,-9.885207844103643,0.0,9.885207844103643,0.09189441409342072,0.6563886720958623,0.09189175968246396,0.092643527858133,0.005862203401686837,0.006563886720952061,0.006213045061319449,-13.737653544135338
followup6w,w_IE,0.3149802624737183,0.4275602589715897,True,3.449379914555167e-13,-7.974959136961604,0.0,7.974959136961604,0.10785923370685639,0.770423097906117,0.10785659174353077,0.10863250162355957,0.00705817698883128,0.007704230979053468,0.007381203983942373,-12.110353302883503
followup6w,w_IE,0.39685026299204984,0.5386921703768092,True,5.704947747101273e-15,-5.647059445206991,0.0,5.647059445206991,0.1275315171570639,0.9109394082647421,0.12752923795909032,0.12823754931830986,0.008689705982402504,0.00910939408263831,0.008899550032520407,-10.127307039128226
followup6w,w_IE,0.5,0.6787096048712973,True,4.7450054068609026e-15,-3.549932354074855,0.0,3.549932354074855,0.1463533848606159,1.0453813204329705,0.14635189998859743,0.14686060511316928,0.010509096850289144,0.010453813204319252,0.010481455027304198,-7.996876732023703
followup6w,w_IE,0.6299605249474366,0.8551205179431794,True,3.468980626944125e-15,-3.9778070524484503,0.0,3.9778070524484503,0.152790591684572,1.0913613691755142,0.15279004135469393,0.15300264123984145,0.011258430883050832,0.010913613691744234,0.011086022287397534,-7.426513354807471
followup6w,w_IE,0.7937005259840998,1.0773843407536183,True,3.1914229369569288e-15,-5.665256935123638,0.0,5.665256935123638,0.1523102125062826,1.0879300893305899,0.15231001580867037,0.1523919347670667,0.011250873997589264,0.010879300893295018,0.011065087445442143,-8.147547273911714
followup6w,w_IE,1.0,1.3574192097425946,True,2.7233297824982413e-15,-7.165619920548212,0.0,7.165619920548212,0.15145852564588724,1.0818466117563375,0.15145844239574432,0.15149475843224455,0.01116928537441206,0.010818466117552555,0.010993875745982307,-8.92101371329612
followup6w,w_IE,1.2599210498948732,1.710241035886359,True,2.482372783282618e-15,-8.332823097300306,0.0,8.332823097300306,0.1508348357163332,1.0773916836880941,0.15083479977312844,0.15085099060532675,0.011099656288861505,0.010773916836870167,0.010936786562865838,-9.527920554506071
followup6w,w_IE,1.5874010519681994,2.1547686815072367,True,6.235362801867764e-15,-9.170122005477412,0.0,9.170122005477412,0.15042065244495795,1.0744332317496996,0.15042063826747556,0.1504271765989067,0.011049517525093432,0.01074433231748625,0.01089692492128984,-9.93314168067824
